,id,text
0,1603444880314974208,how is Henry Cavill the perfect cast for everyone?
1,1603440619334025217,@brynnestarz me too! internet convinced me
2,1603238433756848129,Sza ate
3,1603078702459297795,@swiftoursonggg Carolina
4,1602769909724897281,RT @folklblue: TE AMO JULIAN ÁLVAREZ https://t.co/PlrZGZX3Ve
5,1602750231937830912,JULIAN 🛐🛐🛐🛐🛐🛐🛐🛐🛐
6,1602748883850842112,MESSI CARAJO
7,1602262080601612289,@jaziis12 https://t.co/rnQnJXUSnG
8,1601345040738971649,RT @TiniStoessel: ARGENTINA CARAJO ARGENTINAAAAAAAAAAAAAAAAAAAAAAAA🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷❤️❤️❤️❤️❤️❤️❤️❤️❤️🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷❤️❤️❤️❤️❤️❤️❤️❤️…
9,1601337938062630912,😭💙🤍💙
